|Domain|Provider|Country|
|crwdcntrl.net|Lotame Solutions, Inc.|US|
|curseforge.com|Cloudflare, Inc.|US|
|dailymail.co.uk|Akamai Technologies|EU|
|deezer.com|Amazon Technologies Inc.|US|
|demdex.net|—|—|
|deviantart.com|Amazon.com, Inc.|US|
|discogs.com|Amazon Technologies Inc.|US|
|dota2.com|CloudFlare, Inc.|US|
|dribbble.com|Amazon Technologies Inc.|US|
|dropbox.com|Dropbox, Inc.|US|
|dropboxstatic.com|Dropbox, Inc.|US|
|drweb.com|OOO "Doktor Veb"|RU|
|duolingo.com|Amazon.com, Inc.|US|
|ea.com|Akamai Technologies|EU|
|ebay.com|Akamai Technologies, Inc.|US|
|edgekey.net|—|—|
|envato.com|Cloudflare, Inc.|US|
|eset.com|ESET, spol. s r.o.|SK|
|esoui.com|Cloudflare, Inc.|US|
|fastclick.net|—|—|
|fastpic.ru|OVH SAS|FR|
|fedoraproject.org|Amazon Technologies Inc.|US|
|fifa.com|Akamai Technologies|EU|
|flickr.com|Amazon Technologies Inc.|US|
|freshdesk.com|Amazon Technologies Inc.|US|
|fsdn.com|Internet Express|US|
|gameanalytics.com|Amazon.com, Inc.|US|
|gameforge.com|Cloudflare, Inc.|US|
|gameloft.com|Divertissements GameLoft Inc|CA|
|garmin.com|Cloudflare, Inc.|US|
|genius.com|CloudFlare, Inc.|US|
|getbootstrap.com|CloudFlare, Inc.|US|
|gismeteo.ru|"MapMakers Group" Ltd|RU|
|github.com|GitHub, Inc.|US|
|githubusercontent.com|—|—|
|globalsign.com|Cloudflare, Inc.|US|
|go-mpulse.net|—|—|
|goodgamestudios.com|Amazon Technologies Inc.|US|
|googleapis.com|Google LLC|US|
|googletagmanager.com|Google LLC|US|
|gsmarena.com|RIPE Network Coordination Centre|NL|
|helpshift.com|WPEngine, Inc.|US|
|hm.com|Akamai Technologies|EU|
|hotjar.com|Amazon Technologies Inc.|US|
|hp.com|HP Inc.|US|
|hubspot.com|Cloudflare, Inc.|US|
|ibm.com|Akamai Technologies, Inc.|US|
|iconfinder.com|CloudFlare, Inc.|US|
|ieee.org|Institute of Electrical and Electronics Engineers, Inc|US|
|ietf.org|Cloudflare, Inc.|US|
|igg.com|Amazon Technologies Inc.|US|
|imdb.com|Amazon Technologies Inc.|US|
|imvu.com|IMVU, Inc|US|
|inmobi.com|Microsoft Corporation|US|
|inn.ru|Innova RU Infrastructure|RU|
|intel.com|Microsoft Corporation|US|
|internetat.tv|Asia Pacific Network Information Centre|AU|
|iobit.com|Amazon Technologies Inc.|US|
|itunes.com|Apple Inc.|US|
|jetbrains.com|Amazon Technologies Inc.|US|
|jsdelivr.net|Resource Quality Assurance|AU|
|jtvnw.net|—|—|
|kaspersky-labs.com|—|—|
|kaspersky.com|Kaspersky Lab Switzerland GmbH|RU|
|kia.com|Kia America, Inc.|US|
|lastpass.com|Akamai Technologies|EU|
|leagueoflegends.com|Amazon Technologies Inc.|US|
|lg.com|Amazon Technologies Inc.|US|
|libreoffice.org|Hetzner Online GmbH|DE|
|licdn.com|—|—|
|live.com|Microsoft Corporation|US|
|mail.ru|VK Services|RU|
|mapbox.com|Fastly, Inc.|US|
|marriott.com|Akamai Technologies, Inc.|US|
|mayoclinic.org|Mayo Foundation for Medical Education and Research|US|
|mediafire.com|Cloudflare, Inc.|US|
|merriam-webster.com|Amazon Technologies Inc.|US|
|microsoft.com|Microsoft Corporation|US|
|minecraft.net|Microsoft Corporation|US|
|mit.edu|Akamai Technologies, Inc.|US|
|miui.com|21ViaNet(China),Inc.|CN|
|mobile.de|Amazon Technologies Inc.|US|
|mojang.com|Microsoft Corporation|US|
|msecnd.net|—|—|
|msn.com|Microsoft Corporation|US|
|myfitnesspal.com|CloudFlare, Inc.|US|
|mysql.com|Oracle Corporation|US|
|netflix.com|Amazon Technologies Inc.|US|
|nginx.org|Amazon Technologies Inc.|US|
|nhl.com|CloudFlare, Inc.|US|
|nintendo.com|Nintendo Of America inc.|US|
|nintendo.net|—|—|
|nist.gov|Cloudflare, Inc.|US|
|nvidia.com|Amazon Technologies Inc.|US|
|office.com|Microsoft Corporation|US|
|office365.com|Microsoft Corporation|US|
|ok.ru|Odnoklassniki Services|RU|
|omtrdc.net|—|—|
|openstreetmap.org|Cloudflare, Inc.|US|
|opera.com|Opera Software AS|US|
|optimizely.com|EPiServer Hosting SE|SE|
|origin.com|Akamai Technologies, Inc.|US|
|pastebin.com|CloudFlare, Inc.|US|
|pepsico.com|Incapsula Inc|US|
|php.net|Myra Security GmbH|DE|
|pinimg.com|Fastly, Inc.|US|
|pinterest.com|Fastly, Inc.|US|
|pixlr.com|Amazon Technologies Inc.|US|
|playstation.net|—|—|
|playwire.com|Amazon Technologies Inc.|US|
|plex.tv|Amazon Technologies Inc.|US|
|pravda.ru|CloudFlare, Inc.|US|
|psychologytoday.com|Amazon Technologies Inc.|US|
|pubmatic.com|Amazon Technologies Inc.|US|
|pushwoosh.com|Hetzner Online GmbH|FI|
|pvp.net|—|—|
|quickconnect.to|Amazon Technologies Inc.|US|
|quizlet.com|Cloudflare, Inc.|US|
|rambler.ru|Rambler Head|RU|
|rarlab.com|Canboy Burak|DE|
|rbc.ru|AO <<ROSBIZNESKONSALTING>>|RU|
|redhat.com|Amazon Technologies Inc.|US|
|researchgate.net|CloudFlare, Inc.|US|
|reuters.com|Thomson Reuters U.S. LLC|US|
|reverso.net|CloudFlare, Inc.|US|
|riotgames.com|Akamai Technologies, Inc.|US|
|roblox.com|Roblox|US|
|rockstargames.com|Akamai Technologies|EU|
|rutarget.ru|"Cloud Technologies" LLC trading as Cloud.ru|RU|
|samsung.com|SamsungSDS Inc.|KR|
|samsungapps.com|Samsung SDS Europe Ltd. German Branch|DE|
|samsungcloudsolution.com|—|—|
|samsungcloudsolution.net|—|—|
|samsungdm.com|—|—|
|samsungosp.com|—|—|
|samsungotn.net|SamsungSDS Inc.|KR|
|savefrom.net|CloudFlare, Inc.|US|
|sciencedirect.com|Elsevier Limited|GB|
|scorecardresearch.com|CenturyLink Communications, LLC|US|
|sendgrid.com|Amazon Technologies Inc.|US|
|serverfault.com|CloudFlare, Inc.|US|
|shopify.com|Shopify, Inc.|CA|
|shutterstock.com|Amazon.com, Inc.|US|
|skype.com|Microsoft Corporation|US|
|slack.com|Amazon Technologies Inc.|US|
|softpedia.com|Aptum Technologies|CA|
|sonos.com|Akamai International BV|FI|
|sony.com|Amazon Technologies Inc.|US|
|sony.tv|—|—|
|sonyentertainmentnetwork.com|Oracle Corporation|US|
|sourceforge.net|Cloudflare, Inc.|US|
|spanishdict.com|CloudFlare, Inc.|US|
|speedtest.net|Fastly, Inc.|US|
|spotify.com|Google LLC|US|
|ssl-images-amazon.com|—|—|
|stackexchange.com|CloudFlare, Inc.|US|
|stackoverflow.com|CloudFlare, Inc.|US|
|staticflickr.com|—|—|
|statuspage.io|Atlassian Network Services, Inc.|US|
|steamcommunity.com|Akamai Technologies|EU|
|steampowered.com|Akamai Technologies, Inc.|US|
|steamstatic.com|—|—|
|sublimetext.com|DigitalOcean, LLC|US|
|superuser.com|CloudFlare, Inc.|US|
|synology.com|Amazon.com, Inc.|US|
|tango.me|Google LLC|US|
|taobao.com|Hangzhou Alibaba Advertising Co.,Ltd.|CN|
|teamspeak.com|CloudFlare, Inc.|US|
|timeanddate.com|Cloudflare, Inc.|US|
|tnt-ea.com|—|—|
|todoist.com|Amazon.com, Inc.|US|
|tp-link.com|Amazon.com, Inc.|US|
|trello.com|Amazon Technologies Inc.|US|
|tripadvisor.com|Fastly, Inc.|US|
|truste.com|Amazon.com, Inc.|US|
|twitch.tv|Fastly, Inc.|US|
|udemy.com|Cloudflare, Inc.|US|
|uefa.com|Microsoft Corporation|US|
|unica.com|Corporation Service Company|US|
|unity3d.com|Akamai Technologies, Inc.|US|
|usbank.com|U.S. BANCORP|US|
|valvesoftware.com|Akamai Technologies, Inc.|US|
|videolan.org|Free Foundation (free.org)|FR|
|vimeo.com|Cloudflare, Inc.|US|
|visualstudio.com|Microsoft Corporation|AU|
|vk.me|VKontakte Services|RU|
|vkontakte.ru|VKontakte Services|RU|
|vmware.com|Amazon.com, Inc.|US|
|vungle.com|WPEngine, Inc.|US|
|w3.org|CloudFlare, Inc.|US|
|weather.com|Akamai Technologies|EU|
|webex.com|Cisco Webex LLC|US|
|webmoney.ru|RIPE Network Coordination Centre|NL|
|weibo.com|15F,Ideal Plaza No.58 Bei Si Huan Xi Road Haidian District|CN|
|whatsapp.com|Facebook, Inc.|US|
|wikipedia.org|Wikimedia esams infra|NL|
|wiley.com|Verizon Business|US|
|windows.com|Microsoft Corporation|US|
|worldoftanks.com|G-Core Labs S.A.|NL|
|wowhead.com|Amazon Technologies Inc.|US|
|xbox.com|Microsoft Corporation|US|
|xboxlive.com|Microsoft Corporation|US|
|xiaomi.com|21ViaNet(China),Inc.|CN|
|yahoo.com|Oath Holdings Inc.|US|
|yandex.com|YANDEX LLC|RU|
|yandex.kz|YANDEX LLC|KZ|
|yandex.net|YANDEX LLC|RU|
|youtube.com|Google LLC|US|
|zamimg.com|—|—|
|zara.com|Akamai International BV|FI|
|zoho.com|NTT America, Inc.|US|
